c_ele,c_mit,c_soc,c_trn,n_ver,c_sit,c_tip_loc,f_eve_pre,n_wei,lunghezzaCoda,c_dir,d_agg,n_prg_str,n_prg_ram,c_str,c_ram,t_des_str,t_des_aut,t_des_ram,t_des_dir_it,c_fra,c_fra_cau,t_des_dir_en,c_pnt_dtx_pls_pri,c_unv_pnt_pri,locpri,c_pnt_dtx_pls_sec,c_unv_pnt_sec,locsec,n_km_ini,n_km_fin,kmrel,n_per,d_time_sta,n_vel_med,c_reg,c_reg2,c_grp_tip,t_des_fra_it,t_des_fra_en,t_des_fra_cau_it,t_des_fra_cau_en,t_des_it,t_des_en,t_des_cpt,n_ico_eve,n_ico_cau,n_crd_lat,n_crd_lon,approfondimento,fapp,fcom,n_crd_lat_ini,n_crd_lon_ini,n_crd_lat_fin,n_crd_lon_fin,eventIntersections,filterIntersections,t_url_mit,fino_al,category
20260511_T04_SIV_E_00052_00001,IT404,6,4,1,20260511_T04_E_00014,A,E,2,0,P,1778477722000,44,44,A11,A11,A11 FIRENZE-PISA NORD,FIRENZE-PISA NORD,A11 Firenze-Pisa nord,Pisa,006,093,Pisa,10032,0,Peretola Nord,0,0,,3.0,0.0,0.0,0.0,0.0,0.0,9,9,D,Camper Service chiuso,Problems in service area,Interruzione Erogazione Idrica,No Water Supply,L'area di servizio Peretola nord ha il camper service chiuso per Interruzione Erogazione Idrica,"Peretola Nord rest areahas camper service closed , due to No Water Supply",Pisa,78,0,43.81908,11.17362,{},False,False,43.81908,11.17362,0.0,0.0,"[{'lat': 43.81908, 'lon': 11.17362, 'type': '1', 'radius': 37}]",[],,,service disruption
20260505_T04_SIV_E_00097_00001,IT404,6,4,1,20260505_T04_E_00026,A,E,2,0,P,1777954906000,1,114,A01,VAR,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 DIRETTISSIMA,Firenze,006,003,Firenze,25933,0,Badia Nuova Ovest,0,0,,17.9,0.0,0.0,0.0,0.0,0.0,9,9,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Badia Nuova Ovest ha il camper service chiuso per un guasto all'impianto,"Badia Nuova Ovest rest areahas camper service closed , due to a breakdown in the equipment",Firenze,78,0,44.15099,11.19397,{},False,False,44.15099,11.19397,0.0,0.0,"[{'lat': 44.14759, 'lon': 11.1931, 'type': '1', 'radius': 26}]",[],,,service disruption
20260504_T04_SIV_E_00128_00001,IT404,6,4,1,20260504_T04_E_00030,A,E,2,0,N,1777878333000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Milano,006,003,Milano,24988,0,Arno Est,0,0,,330.8,0.0,0.0,0.0,0.0,0.0,9,9,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Arno Est ha il camper service chiuso per un guasto all'impianto,"Arno Est rest areahas camper service closed , due to a breakdown in the equipment",Milano,78,0,43.58185,11.52335,{},False,False,43.58185,11.52335,0.0,0.0,"[{'lat': 43.58331, 'lon': 11.52186, 'type': '1', 'radius': 55}]",[],,,service disruption
20260503_T04_SIV_E_00055_00001,IT404,6,4,1,20260503_T04_E_00012,A,E,2,0,N,1777789418000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Milano,006,003,Milano,3561,0,Montepulciano Est,0,0,,395.0,0.0,0.0,0.0,0.0,0.0,9,9,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Montepulciano est ha il camper service chiuso per un guasto all'impianto,"Montepulciano Est rest areahas camper service closed , due to a breakdown in the equipment",Milano,78,0,43.13587,11.86513,{},False,False,43.13587,11.86513,0.0,0.0,"[{'lat': 43.13587, 'lon': 11.86513, 'type': '1', 'radius': 35}]",[],,,service disruption
20260423_T08_SIV_E_00106_00001,IT408,6,8,1,20260423_T08_E_00061,A,E,2,0,P,1776936040000,10,10,A14,A14,A14 BOLOGNA-TARANTO,BOLOGNA-TARANTO,A14 Bologna-Taranto,Taranto,006,,Taranto,10199,0,San Trifone Ovest,0,0,,517.514,0.0,0.0,0.0,0.0,0.0,17,17,D,Camper Service chiuso,Problems in service area,,,L'area di servizio San Trifone ovest ha il camper service chiuso,"San Trifone Ovest rest areahas camper service closed ,",Taranto,78,0,41.78022,15.38542,{},False,False,41.78022,15.38542,0.0,0.0,"[{'lat': 41.78022, 'lon': 15.38542, 'type': '1', 'radius': 40}]",[],,,closure
20260421_T05_SIV_E_00344_00001,IT405,6,5,1,20260421_T05_E_00113,A,E,2,0,N,1776778840000,40,46,A12,A92,A12 ROMA-CIVITAVECCHIA,GENOVA-ROMA,A12 Roma-Civitavecchia-Tarquinia,Roma,006,003,Roma,10180,0,Tirreno Ovest,0,0,,39.2,0.0,0.0,0.0,0.0,0.0,12,12,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Tirreno ovest ha il camper service chiuso per un guasto all'impianto,"Tirreno Ovest rest areahas camper service closed , due to a breakdown in the equipment",Roma,78,0,42.02957,11.96222,{},False,False,42.02957,11.96222,0.0,0.0,"[{'lat': 42.02966, 'lon': 11.96219, 'type': '1', 'radius': 62}]",[],,,service disruption
20260331_T05_SIV_E_00252_00001,IT405,6,5,4,20260331_T05_E_00087,A,E,2,0,N,1776340896000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Milano,006,003,Milano,3595,0,PRENESTINA EST,0,0,,566.1,0.0,0.0,0.0,0.0,0.0,12,12,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Prenestina est ha il camper service chiuso per un guasto all'impianto,"Prenestina Est rest areahas camper service closed , due to a breakdown in the equipment",Milano,78,0,41.8918,12.75835,{},False,False,41.8918,12.75835,0.0,0.0,"[{'lat': 41.8918, 'lon': 12.75835, 'type': '1', 'radius': 33}]",[],,,service disruption
20260416_T02_SIV_E_00386_00001,IT402,6,2,1,20260416_T02_E_00153,A,E,2,0,P,1776328305000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Napoli,006,003,Napoli,10126,0,Somaglia Ovest,0,0,,43.5,0.0,0.0,0.0,0.0,0.0,3,3,D,Mancanza di metano,Problems in service area,Guasto Impianto,system fail,L'area di servizio Somaglia ovest e' sprovvista di metano per un guasto all'impianto,"Somaglia Ovest rest areais out of methane , due to a breakdown in the equipment",Napoli,75,0,45.14255,9.63365,{},False,False,45.14255,9.63365,0.0,0.0,"[{'lat': 45.14255, 'lon': 9.63365, 'type': '1', 'radius': 20}]",[],,,service disruption
20260223_T05_SIV_E_00178_00001,IT405,6,5,3,20260223_T05_E_00069,A,E,2,0,P,1776236109000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Napoli,006,003,Napoli,10134,0,Fabro Ovest,0,0,,427.8,0.0,0.0,0.0,0.0,0.0,10,10,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Fabro ovest ha il camper service chiuso per un guasto all'impianto,"Fabro Ovest rest areahas camper service closed , due to a breakdown in the equipment",Napoli,78,0,42.87588,12.01782,{},False,False,42.87588,12.01782,0.0,0.0,"[{'lat': 42.87588, 'lon': 12.01782, 'type': '1', 'radius': 37}]",[],,,service disruption
20260413_T04_SIV_E_00240_00001,IT404,6,4,1,20260413_T04_E_00064,A,E,2,0,P,1776076192000,44,44,A11,A11,A11 FIRENZE-PISA NORD,FIRENZE-PISA NORD,A11 Firenze-Pisa nord,Pisa,006,003,Pisa,145,0,Serravalle Nord,0,0,,35.5,0.0,0.0,0.0,0.0,0.0,9,9,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Serravalle nord ha il camper service chiuso per un guasto all'impianto,"Serravalle Nord rest areahas camper service closed , due to a breakdown in the equipment",Pisa,78,0,43.89142,10.8246,{},False,False,43.89142,10.8246,0.0,0.0,"[{'lat': 43.89142, 'lon': 10.8246, 'type': '1', 'radius': 36}]",[],,,service disruption
